nom1,nom,Nation,Pos,equip,Born,partits,minuts,ga90,save
Benjamin Lecomte,Benjamin-Lecomte,fr FRA,GK,Monaco,1991.0,48,4320,1.4464705882352944,0.6767058823529413
Benoît Costil,Benoit-Costil,fr FRA,GK,Bordeaux,1987.0,58,5220,1.2406818181818182,0.6952727272727272
Bernd Leno,Bernd-Leno,de GER,GK,Arsenal,1992.0,58,5150,1.2613540713632205,0.7472340870474448
Bingourou Kamara,Bingourou-Kamara,sn SEN,GK,Strasbourg,1996.0,8,720,1.75,0.581
Boris Radunović,Boris-Radunovic,rs SRB,GK,Hellas Verona,1996.0,3,270,2.67,0.5379999999999999
Caoimhín Kelleher,Caoimhin-Kelleher,ie IRL,GK,Liverpool,1998.0,2,180,0.5,0.857
Churripi,Churripi,es ESP,GK,Valladolid,1994.0,3,244,1.11,0.769
Ciprian Tătărușanu,Ciprian-Tatarusanu,ro ROU,GK,Lyon,1986.0,3,270,1.5,0.78025
Claudio Bravo,Claudio-Bravo,cl CHI,GK,Manchester City,1983.0,14,1247,1.7277782952957614,0.5744997671169073
Dani Cárdenas,Dani-Cardenas,es ESP,GK,Levante,1997.0,3,270,0.67,0.909
Daniel Fuzato,Daniel-Fuzato,br BRA,GK,Roma,1997.0,1,90,1.0,0.5
Daniel Martín,Daniel-Martin,es ESP,GK,Betis,1998.0,6,531,2.03,0.5379999999999999
Daniele Padelli,Daniele-Padelli,it ITA,GK,Inter,1985.0,4,270,1.33,0.5
Danijel Petković,Danijel-Petkovic,me MNE,GK,Angers,1993.0,2,180,0.5,0.857
Darren Randolph,Darren-Randolph,ie IRL,GK,West Ham,1987.0,4,360,2.0,0.5706666666666668
David Button,David-Button,eng ENG,GK,West Brom,1989.0,1,90,2.0,0.7140000000000001
David Gil,David-Gil,es ESP,GK,Cádiz,1994.0,1,90,2.0,0.33299999999999996
David Martin,David-Martin,eng ENG,GK,West Ham,1986.0,5,436,1.24,0.7
David Ospina,David-Ospina,co COL,GK,Napoli,1988.0,32,2819,0.9622835212281123,0.7254192852002879
David Soria,David-Soria,es ESP,GK,Getafe,1993.0,57,5130,1.005,0.6900000000000001
David de Gea,David-de-Gea,es ESP,GK,Manchester Utd,1990.0,62,5535,1.0274117647058822,0.7191352941176471
Dean Henderson,Dean-Henderson,eng ENG,GK,Sheffield Utd,1997.0,42,3735,0.8767021276595746,0.7651063829787234
Demba Thiam,Demba-Thiam,sn SEN,GK,SPAL,1998.0,2,180,2.0,0.7859999999999999
Denis Petrić,Denis-Petric,rs SRB,GK,Nantes,1988.0,1,90,2.0,0.667
Dennis Smarsch,Dennis-Smarsch,de GER,GK,Hertha BSC,1999.0,2,151,2.38,0.636
Diego López,Diego-Lopez,es ESP,GK,Espanyol,1981.0,36,3232,1.62,0.66
Dimitry Bertaud,Dimitry-Bertaud,fr FRA,GK,Montpellier,1998.0,9,671,1.4380279232111692,0.5692190226876092
Donovan Léon,Donovan-Leon,gf GUF,GK,Brest,1992.0,2,122,2.21,0.8
Ederson,Ederson,br BRA,GK,Manchester City,1993.0,64,5681,0.7790761066216378,0.7453139548908455
Édgar Badía,Edgar-Badia,es ESP,GK,Elche,1992.0,28,2520,1.5,0.695
Edouard Mendy,Edouard-Mendy,sn SEN,GK,Rennes,1992.0,49,4410,0.7539189189189189,0.7636756756756756
Eiji Kawashima,Eiji-Kawashima,jp JPN,GK,Strasbourg,1983.0,22,1980,1.36,0.69
Emil Audero,Emil-Audero,it ITA,GK,Sampdoria,1997.0,64,5760,1.6182608695652172,0.6814782608695652
Emiliano Martínez,Emiliano-Martinez,ar ARG,GK,Arsenal,1992.0,37,3291,1.0586732059886423,0.7978575116159009
Enrico Alfonso,Enrico-Alfonso,it ITA,GK,Brescia,1988.0,4,279,1.29,0.636
Etrit Berisha,Etrit-Berisha,al ALB,GK,SPAL,1989.0,26,2340,1.58,0.754
Fabricio,Fabricio,es ESP,GK,Mallorca,1987.0,2,90,3.0,0.8
Federico Marchetti,Federico-Marchetti,it ITA,GK,Genoa,1983.0,3,244,2.58,0.462
Federico Ravaglia,Federico-Ravaglia,it ITA,GK,Bologna,1999.0,1,90,5.0,0.28600000000000003
Felix Wiedwald,Felix-Wiedwald,de GER,GK,Eint Frankfurt,1990.0,3,270,2.67,0.619
Fernando Pacheco,Fernando-Pacheco,es ESP,GK,Alavés,1992.0,55,4878,1.464501216545012,0.6666058394160584
Finn Dahmen,Finn-Dahmen,de GER,GK,Mainz 05,1998.0,1,90,5.0,0.636
Florian Kastenmeier,Florian-Kastenmeier,de GER,GK,Düsseldorf,1997.0,17,1530,1.82,0.618
Florian Müller,Florian-Muller,de GER,GK,Mainz 05,1997.0,39,3465,1.7984496124031009,0.6720387596899224
Francesco Rossi,Francesco-Rossi,it ITA,GK,Atalanta,1991.0,1,11,8.18,0.0
Fraser Forster,Fraser-Forster,eng ENG,GK,Southampton,1988.0,4,360,0.75,0.7
Frederik Rønnow,Frederik-Ronnow,dk DEN,GK,Eint Frankfurt,1992.0,19,1665,1.8178571428571428,0.7314285714285713
Gabriel,Gabriel,br BRA,GK,Lecce,1992.0,34,2997,2.28,0.696
Gautier Larsonneur,Gautier-Larsonneur,fr FRA,GK,Brest,1997.0,54,4828,1.4574455772940202,0.7298765500137779
Gerónimo Rulli,Geronimo-Rulli,ar ARG,GK,Montpellier,1992.0,25,2250,1.08,0.7859999999999999
Gianluca Pegolo,Gianluca-Pegolo,it ITA,GK,Sassuolo,1981.0,6,540,0.6857142857142857,0.8679999999999999
Gianluigi Buffon,Gianluigi-Buffon,it ITA,GK,Juventus,1978.0,14,1260,0.9231578947368422,0.769
Gianluigi Donnarumma,Gianluigi-Donnarumma,it ITA,GK,Milan,1999.0,63,5631,1.1588983997022704,0.7144927428358764
Gregor Kobel,Gregor-Kobel,ch SUI,GK,Stuttgart,1997.0,26,2340,1.58,0.6890000000000001
Hugo Lloris,Hugo-Lloris,fr FRA,GK,Tottenham,1986.0,50,4417,1.0425715098904227,0.7870858118685071
Iago Herrerín,Iago-Herrerin,es ESP,GK,Athletic Club,1988.0,5,425,1.91,0.5
