,Wk,Day,Date,Time,Home,xG,Score1,Score2,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
244,25.0,Sat,2021-03-13,15:30,Mainz 05,1.7,1,0,0.9,Freiburg,,Opel Arena,Benjamin Cortus,Match Report,
245,25.0,Sat,2021-03-13,15:30,Union Berlin,2.3,2,1,1.3,Köln,,Stadion An der Alten Försterei,Deniz Aytekin,Match Report,
246,25.0,Sat,2021-03-13,18:30,Dortmund,1.5,2,0,0.4,Hertha BSC,,Signal Iduna Park,Martin Petersen,Match Report,
247,25.0,Sun,2021-03-14,13:30,Leverkusen,2.5,1,2,1.5,Arminia,,BayArena,Sascha Stegemann,Match Report,
248,25.0,Sun,2021-03-14,15:30,RB Leipzig,1.8,1,1,1.0,Eint Frankfurt,,Red Bull Arena,Felix Zwayer,Match Report,
249,25.0,Sun,2021-03-14,18:00,Stuttgart,0.8,2,0,1.1,Hoffenheim,,Mercedes-Benz Arena,Christian Dingert,Match Report,
250,,,,,,,NA,NA,,,,,,,
251,26.0,Fri,2021-03-19,20:30,Arminia,0.3,0,1,2.8,RB Leipzig,,SchücoArena,Frank Willenborg,Match Report,
252,26.0,Sat,2021-03-20,15:30,Eint Frankfurt,2.4,5,2,2.8,Union Berlin,,Commerzbank-Arena,Markus Schmidt,Match Report,
253,26.0,Sat,2021-03-20,15:30,Bayern Munich,2.2,4,0,0.8,Stuttgart,,Allianz Arena,Daniel Schlager,Match Report,
254,26.0,Sat,2021-03-20,15:30,Werder Bremen,0.7,1,2,1.6,Wolfsburg,,Weserstadion,Robert Schröder,Match Report,
255,26.0,Sat,2021-03-20,15:30,Köln,1.3,2,2,1.8,Dortmund,,RheinEnergieSTADION,Daniel Siebert,Match Report,
256,26.0,Sat,2021-03-20,18:30,Schalke 04,0.2,0,3,2.4,MGladbach,,Veltins-Arena,Tobias Stieler,Match Report,
257,26.0,Sun,2021-03-21,13:30,Hoffenheim,,1,2,,Mainz 05,,PreZero Arena,Marco Fritz,Match Report,
258,26.0,Sun,2021-03-21,15:30,Hertha BSC,,3,0,,Leverkusen,,Olympiastadion Berlin,Felix Brych,Match Report,
259,26.0,Sun,2021-03-21,18:00,Freiburg,,2,0,,Augsburg,,Schwarzwald-Stadion,Bastian Dankert,Match Report,
260,,,,,,,NA,NA,,,,,,,
261,27.0,Sat,2021-04-03,15:30,Wolfsburg,,NA,NA,,Köln,,Volkswagen Arena,,Head-to-Head,
262,27.0,Sat,2021-04-03,15:30,Mainz 05,,NA,NA,,Arminia,,Opel Arena,,Head-to-Head,
263,27.0,Sat,2021-04-03,15:30,Augsburg,,NA,NA,,Hoffenheim,,WWK Arena,,Head-to-Head,
264,27.0,Sat,2021-04-03,15:30,Leverkusen,,NA,NA,,Schalke 04,,BayArena,,Head-to-Head,
265,27.0,Sat,2021-04-03,15:30,Dortmund,,NA,NA,,Eint Frankfurt,,Signal Iduna Park,,Head-to-Head,
266,27.0,Sat,2021-04-03,18:30,RB Leipzig,,NA,NA,,Bayern Munich,,Red Bull Arena,,Head-to-Head,
267,27.0,Sat,2021-04-03,20:30,MGladbach,,NA,NA,,Freiburg,,Stadion im Borussia-Park,,Head-to-Head,
268,27.0,Sun,2021-04-04,15:30,Stuttgart,,NA,NA,,Werder Bremen,,Mercedes-Benz Arena,,Head-to-Head,
