"","V1","V2","V3"
"742",2.5,3.1,3
"743",2.37,3.4,2.9
"744",2.15,3.7,3.1
"745",2.25,3.25,3.25
"746",3.25,3.1,2.35
"747",2.5,3.5,2.7
"748",1.5,4.5,6
"749",1.9,4,3.6
"750",1.75,3.8,4.5
"751",2.37,3.6,2.87
"752",1.36,5,8.5
"753",2.45,3.2,3
"754",3.75,3.2,2.1
"755",2.75,3.5,2.4
"756",2.9,3.25,2.5
"757",8.5,6,1.28
"758",2.2,3.2,3.5
"759",4.33,4.2,1.72
"760",1.65,4,5
"761",2.3,3.3,3.1
"762",2.5,3.2,2.87
"763",4.33,4.2,1.7
"764",7.5,5.25,1.36
"765",2.9,3.3,2.37
"766",1.7,3.75,5
"767",1.6,3.75,6
"768",2.15,3.5,3.25
"769",2,3.25,3.9
"770",2.05,3.4,3.5
"771",1.72,3.75,4.5
"772",1.66,4.33,4.5
"773",3.5,3.8,2
"774",1.4,5,7.5
"775",4.5,3.9,1.72
"776",1.9,3.75,3.8
"777",3.1,3.5,2.25
"778",1.7,3.5,5.25
"779",9,5.5,1.3
"780",1.75,4.33,4
"781",9,5.25,1.33
"782",3.4,3.1,2.3
"783",1.53,4.2,6.25
"784",2,3.5,3.8
"785",1.3,5.75,9
"786",1.22,7,11
"787",1.57,4.75,4.5
"788",1.72,3.6,5.25
"789",2.62,3.8,2.45
"790",1.6,3.9,5.75
"791",5.25,3.8,1.66
"792",1.72,4,4.5
"793",2.05,3.6,3.4
"794",5.5,5,1.5
"795",4.5,3.8,1.75
"796",1.09,11,21
"797",1.53,4.33,5.75
"798",2.9,3.5,2.3
"799",1.85,3.9,3.9
"800",2.15,3.5,3.3
"801",6.5,4.33,1.5
"802",1.65,4,5
"803",3.4,3.5,2.1
"804",2.37,3.25,3.1
"805",2.25,3.5,3.1
"806",1.75,4,4.33
"807",2.15,3.6,3.25
"808",2.2,3.5,3.2
"809",1.6,4.5,5
"810",2.87,3.3,2.5
"811",1.75,3.8,4.5
"812",2.05,3.4,3.6
"813",1.33,5.5,8.5
"814",2.87,3.3,2.5
"815",5,4.2,1.61
"816",4.5,4.5,1.6
"817",2.15,3.4,3.4
"818",1.33,5.25,9
"819",1.65,4.2,4.75
"820",1.12,9,19
"821",2.4,3.4,2.87
"822",2.4,3.5,2.87
"823",7.5,4.75,1.4
"824",2.3,3.4,3.1
"825",3.1,3.5,2.2
"826",2.15,3.5,3.2
"827",1.75,3.8,4.5
"828",7,4.6,1.44
"829",1.4,5,6.5
"830",4.75,4,1.65
"831",1.9,3.3,4.33
"832",6.5,4.33,1.5
"833",1.2,6,19
"834",2.1,3.5,3.4
"835",3.8,3.75,1.95
"836",1.9,4.2,3.5
"837",2.37,3.5,2.9
"838",1.28,5.75,9.5
"839",2.15,3.4,3.4
"840",7,4.5,1.44
"841",1.3,6,8.5
"842",3,3.4,2.37
