nom1,nom,Nation,Pos,equip,Born,partits,minuts,gls,xg,ast,xa,ong,onga,CmpS,CmpS_perc,CmpM,CmpM_perc,CmpL,CmpL_perc,KP,Last13,PPA,CrsPA,SoT_perc,Sh90,tklw,int
Christian Pastina,Christian-Pastina,it ITA,DF,Benevento,2001.0,2,76,0.0,0.0,1.18,0.5,1.25,6.25,17.5,87.5,11.3,81.8,5.0,57.1,1.25,1.25,1.25,1.25,0.0,0.0,2.5,1.25
Christian Pulisic,Christian-Pulisic,us USA,FW,Chelsea,1998.0,44,2802,0.3614992272024729,0.3771406491499227,0.17383307573415763,0.1716537867078825,1.761870170015456,1.361499227202473,16.159807073954983,84.7668810289389,9.199067524115755,78.70225080385853,2.0263665594855307,62.71350482315112,1.4158199356913184,1.4507073954983924,1.7400964630225082,0.06157556270096463,34.74372990353697,2.8580064308681674,0.8665273311897107,0.285209003215434
Christian Strohdiek,Christian-Strohdiek,de GER,DF,Paderborn 07,1988.0,16,1363,0.07,0.09,0.13,0.08,1.19,2.65,6.36,81.4,15.7,85.6,9.4,62.8,0.6,3.31,0.13,0.0,37.5,0.53,0.99,0.86
Christoph Baumgartner,Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,1999.0,51,3413,0.35159572473279577,0.3899943746484156,0.12720045002812677,0.1263997749859366,1.536405400337521,1.778801800112507,13.161213720316622,79.85461741424801,8.230211081794195,78.94960422163588,2.244406332453826,55.338258575197884,1.0537203166226914,1.6615831134564643,0.8415039577836411,0.13306068601583115,36.71635883905013,2.744934036939314,1.3205804749340369,0.6562005277044854
Christoph Kramer,Christoph-Kramer,de GER,MF,MGladbach,1991.0,45,3144,0.0,0.026517412935323382,0.0,0.03,1.8946268656716418,1.1394029850746268,23.667142857142853,90.76314285714285,20.048000000000002,88.18914285714285,4.9403999999999995,72.45457142857143,0.43,3.5409714285714284,0.6260285714285715,0.08671428571428572,7.640285714285715,0.4817714285714285,1.6558857142857144,1.0814
Christoph Zimmermann,Christoph-Zimmermann,de GER,DF,Norwich City,1993.0,17,1430,0.0,0.02,0.06,0.01,0.82,1.7,8.74,93.3,15.8,90.3,6.23,57.6,0.06,1.45,0.06,0.0,16.7,0.38,1.32,0.57
Christophe Hérelle,Christophe-Herelle,mq MTQ,DF,Nice,1992.0,31,2480,0.15431682654913143,0.07857920663728286,0.0,0.019289603318641428,1.5042986777288048,1.4127871402644543,13.170760869565218,94.23804347826088,31.91086956521739,94.32282608695651,11.535760869565216,76.26739130434783,0.17902173913043476,3.9865217391304353,0.17902173913043476,0.0,26.739130434782606,0.3989130434782609,0.6856521739130435,1.0188043478260869
Christophe Jallet,Christophe-Jallet,fr FRA,DF,Amiens,1983.0,12,855,0.11,0.02,0.11,0.07,0.95,1.58,21.3,86.7,17.9,81.0,5.89,58.3,1.16,3.89,1.47,0.84,25.0,0.42,1.58,1.37
Christopher Antwi-Adjei,Christopher-Antwi-Adjei,gh GHA,MFFW,Paderborn 07,1994.0,34,2470,0.04,0.17,0.07,0.11,1.06,2.19,10.6,79.7,8.65,77.7,2.23,49.2,1.53,1.06,1.09,0.29,21.3,1.71,0.73,0.4
Christopher Lenz,Christopher-Lenz,de GER,DF,Union Berlin,1994.0,46,3966,0.0,0.02599823477493381,0.1319964695498676,0.09100264783759929,1.4439488084730803,1.591046778464254,15.95714285714286,87.20000000000002,13.785714285714288,75.08571428571429,4.807142857142858,51.71428571428572,0.7685714285714287,2.6085714285714285,0.9285714285714286,0.5014285714285714,24.62857142857143,0.6385714285714286,1.5185714285714287,1.382857142857143
Christopher Nkunku,Christopher-Nkunku,fr FRA,MFFW,RB Leipzig,1997.0,53,3266,0.27948339483394835,0.3732863034512698,0.5110332103321034,0.3925352724115476,2.4424419361840677,0.8339439982635121,18.28292011019284,88.94325068870523,10.57465564738292,82.97079889807164,3.6892561983471084,50.18953168044078,3.335977961432507,2.315068870523416,1.655977961432507,0.19336088154269973,47.07327823691461,2.5613498622589534,0.8822314049586777,0.7702203856749312
Christopher Rocchia,Christopher-Rocchia,fr FRA,DF,Marseille,1998.0,2,22,0.0,0.0,0.0,0.0,5.0,0.0,40.0,88.9,15.0,100.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Christopher Trimmel,Christopher-Trimmel,at AUT,DF,Union Berlin,1987.0,55,4850,0.014531227146409245,0.01,0.2558124908585637,0.15,1.2917185900248647,1.5653751645458536,14.999072356215212,89.09499072356213,14.061038961038962,79.8230055658627,6.734007421150278,45.09907235621521,2.0017996289424858,1.8748051948051947,1.037012987012987,0.7419109461966605,49.05250463821891,0.2051020408163265,1.3717996289424859,1.2818181818181817
Churripi,Churripi,es ESP,GK,Valladolid,1994.0,3,244,0.0,0.0,0.0,0.0,0.74,1.11,1.11,100.0,4.81,92.9,7.04,23.5,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0
Ciaran Clark,Ciaran-Clark,ie IRL,DF,Newcastle Utd,1989.0,32,2751,0.11736561631139944,0.07099165894346618,0.0,0.0,0.9147312326227989,1.2811886005560704,8.690588235294118,89.13137254901962,12.573333333333334,87.38235294117646,4.152745098039215,60.654901960784315,0.09705882352941177,1.7645098039215688,0.12725490196078432,0.0,42.98823529411764,0.4600000000000001,0.8190196078431372,1.0770588235294118
Cifu,Cifu,es ESP,DF,Elche,1990.0,9,436,0.0,0.02,0.0,0.0,1.04,2.08,16.0,87.5,11.5,71.4,3.33,55.2,0.0,1.67,0.0,0.0,0.0,0.62,1.25,0.63
Ciprian Tătărușanu,Ciprian-Tatarusanu,ro ROU,GK,Lyon,1986.0,3,270,0.0,0.0,0.0,0.0,2.25,1.5,6.333333333333333,100.0,12.666666666666666,100.0,7.0,66.13333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciro Immobile,Ciro-Immobile,it ITA,FW,Lazio,1990.0,62,5148,0.914521470670783,0.7200364861072129,0.237793993825428,0.168896996912714,2.040642716811676,1.146618018523716,11.507692307692308,81.59230769230768,5.946923076923077,75.64615384615384,1.6923076923076925,72.44615384615385,1.4838461538461538,1.1707692307692306,0.9423076923076924,0.07153846153846155,42.215384615384615,3.602307692307692,0.28076923076923077,0.17384615384615384
Claud Adjapong,Claud-Adjapong,it ITA,DF,Hellas Verona,1998.0,5,231,0.0,0.22,0.0,0.0,1.92,2.69,10.4,81.8,9.62,83.3,2.69,50.0,0.0,2.31,0.0,0.0,33.3,1.17,1.15,1.15
Claudio Bravo,Claudio-Bravo,cl CHI,GK,Manchester City,1983.0,14,1247,0.0,0.0,0.0,0.0,1.5845971122496507,1.710353982300885,4.746906474820143,97.15467625899281,9.27841726618705,100.0,9.21,47.85899280575539,0.07194244604316546,0.5755395683453237,0.0,0.0,0.0,0.0,0.0,0.0
Claudio Pizarro,Claudio-Pizarro,pe PER,FWMF,Werder Bremen,1978.0,18,234,0.0,0.13,0.0,0.26,0.77,1.54,11.5,76.9,8.46,81.5,1.54,50.0,1.54,2.31,3.08,0.38,0.0,1.54,0.38,0.77
Claudio Terzi,Claudio-Terzi,it ITA,DF,Spezia,1984.0,19,1429,0.06,0.01,0.06,0.0,1.32,1.95,14.0,90.2,25.3,91.4,16.9,72.8,0.13,4.91,0.38,0.0,33.3,0.19,0.63,1.57
Clément Grenier,Clement-Grenier,fr FRA,MF,Rennes,1991.0,27,1806,0.16928236566895064,0.12533357374684456,0.0662567616300036,0.1157951676884241,0.990923187883159,0.8584096646231518,21.8505,87.12100000000001,19.247,84.12549999999999,6.50285,52.214,1.7471,5.349600000000001,0.6463500000000001,0.04814999999999999,28.921000000000003,1.5417999999999998,0.8499500000000001,0.7998000000000001
Clément Lenglet,Clement-Lenglet,fr FRA,DF,Barcelona,1995.0,53,4232,0.06401324503311258,0.041973509933774834,0.028026490066225165,0.025986754966887418,2.290953642384106,1.0130596026490064,24.41,95.81382978723404,36.77489361702127,95.67106382978723,10.931489361702127,80.8768085106383,0.19427659574468087,6.318170212765958,0.2538936170212766,0.042765957446808514,33.20744680851064,0.3828297872340426,1.2132765957446807,0.7267872340425532
Clément Michelin,Clement-Michelin,fr FRA,DF,Lens,1997.0,22,935,0.0,0.02,0.39,0.3,1.44,1.06,14.1,83.5,18.9,81.1,6.15,48.5,1.63,1.83,1.35,0.87,16.7,0.58,0.96,1.06
Clément Vidal,Clement-Vidal,fr FRA,DF,Montpellier,2000.0,1,90,0.0,0.0,0.0,0.0,2.0,2.0,8.0,80.0,20.0,90.9,8.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Coke,Coke,es ESP,DF,Levante,1987.0,28,1498,0.06717488789237668,0.0474638764324863,0.0,0.024927752864972598,0.9239810662680618,1.4373193821624315,16.68862275449102,88.94431137724553,16.049101796407186,86.47784431137725,5.987604790419161,64.9946107784431,0.5410179640718563,2.1517964071856284,0.7197604790419162,0.17784431137724552,25.0,0.7231736526946106,1.3736526946107785,0.7820958083832336
Colin Dagba,Colin-Dagba,fr FRA,DF,Paris S-G,1998.0,29,1712,0.03409288824383164,0.011364296081277214,0.06439767779390422,0.07621190130624093,2.4565166908563136,0.5627285921625544,31.742105263157896,93.65578947368421,19.466315789473686,90.5115789473684,1.7346315789473683,55.49473684210527,0.8448421052631578,1.688736842105263,1.0494736842105263,0.41789473684210526,8.730526315789474,0.4714736842105263,0.7903157894736842,0.8462105263157894
Connor Wickham,Connor-Wickham,eng ENG,FWMF,Crystal Palace,1993.0,6,96,0.94,1.25,0.94,0.46,2.73,1.82,16.4,72.0,5.45,60.0,2.73,75.0,1.82,1.82,0.0,0.0,50.0,3.75,1.82,0.0
Conor Coady,Conor-Coady,eng ENG,DF,Wolves,1993.0,66,5913,0.011862955032119914,0.011862955032119914,0.0,0.014068522483940044,1.2302676659528908,1.1360064239828693,6.6072298325722985,93.21187214611871,20.537290715372905,94.4951293759513,13.098934550989345,75.20487062404871,0.10470319634703197,2.5282800608828007,0.10410958904109588,0.0,12.05814307458143,0.10540334855403348,0.5631354642313546,0.6552968036529679
Conor Gallagher,Conor-Gallagher,eng ENG,MF,West Brom,2000.0,23,1972,0.09,0.06,0.09,0.04,0.5,1.55,13.2,85.5,10.9,88.8,3.52,57.9,0.59,2.97,0.64,0.09,23.1,1.19,1.96,1.19
Conor Hourihane,Conor-Hourihane,ie IRL,MF,Aston Villa,1991.0,31,1759,0.20494959677419355,0.10247479838709678,0.30247479838709673,0.3022681451612903,1.2276310483870967,1.6067993951612902,12.312820512820513,85.72307692307692,15.656410256410258,85.22307692307692,4.714871794871795,46.32051282051282,2.1056410256410256,3.4861538461538455,0.8174358974358974,0.3041025641025641,35.205128205128204,1.7384615384615383,0.7148717948717949,0.15692307692307692
Conor Townsend,Conor-Townsend,eng ENG,DF,West Brom,1993.0,16,1424,0.0,0.02,0.0,0.07,0.51,1.08,17.6,90.3,18.0,81.0,4.11,42.5,0.82,3.67,0.95,0.57,33.3,0.38,1.08,1.71
Corentin Jean,Corentin-Jean,fr FRA,DF,Toulouse,1995.0,18,379,0.0,0.07430093209054593,0.1188814913448735,0.024766977363515314,0.7231957390146472,0.8470306258322237,12.873809523809525,85.55238095238097,6.669047619047619,69.53333333333335,2.3819047619047624,57.4,0.7126190476190477,0.2342857142857143,1.1909523809523812,1.1909523809523812,45.58809523809524,3.543571428571429,1.1909523809523812,0.4783333333333334
Corentin Tolisso,Corentin-Tolisso,fr FRA,MF,Bayern Munich,1994.0,27,1371,0.13303231939163498,0.20787072243346008,0.18245247148288976,0.19032319391634983,2.906449619771863,1.289610266159696,23.377631578947373,87.61447368421054,26.50263157894737,91.99342105263158,10.807236842105262,81.25394736842105,1.3169736842105264,9.078092105263158,0.9890131578947368,0.1293421052631579,42.67368421052632,1.7750657894736843,1.3165131578947369,0.3933552631578947
Craig Cathcart,Craig-Cathcart,nir NIR,DF,Watford,1989.0,29,2488,0.0,0.01,0.0,0.0,0.91,1.34,8.3,89.8,12.1,89.8,5.4,66.8,0.04,1.34,0.11,0.04,50.0,0.07,0.94,0.58
Craig Dawson,Craig-Dawson,eng ENG,DF,Watford,1990.0,43,3621,0.11355869698832206,0.09258143822987093,0.0,0.007418561770129072,1.1100491702519975,1.6454148740012293,6.489104477611939,90.00746268656717,13.187562189054725,89.69203980099502,7.239850746268655,63.87910447761194,0.12213930348258706,1.992039800995025,0.052139303482587065,0.0,32.48955223880596,0.8486567164179104,0.674278606965174,0.9950248756218905
Cristian Ansaldi,Cristian-Ansaldi,ar ARG,DFMF,Torino,1986.0,47,2850,0.16697863682604272,0.08100712105798577,0.2137589013224822,0.17201424211597152,1.33,1.673560528992879,12.48607594936709,88.53037974683544,11.059493670886075,75.97974683544304,6.647088607594936,49.303797468354425,1.7059493670886074,2.4075949367088607,2.088607594936709,1.6153164556962025,30.38481012658228,1.1717721518987343,1.361012658227848,0.7884810126582279
